Ramadan,Weekday,Month,Imsak,Fajr,Sunrise,Dhuhr,Asr,Iftar,Isha
1,Tuesday,12/March/2024,5:04 AM,5:14 AM,6:28 AM,12:31 PM,3:54 PM,6:30 PM,7:43 PM
2,Wednesday,13/March/2024,5:03 AM,5:13 AM,6:27 AM,12:31 PM,3:54 PM,6:30 PM,7:44 PM
3,Thursday,14/March/2024,5:02 AM,5:12 AM,6:26 AM,12:31 PM,3:54 PM,6:31 PM,7:44 PM
4,Friday,15/March/2024,5:01 AM,5:11 AM,6:25 AM,12:31 PM,3:54 PM,6:31 PM,7:45 PM
5,Saturday,16/March/2024,5:00 AM,5:10 AM,6:24 AM,12:30 PM,3:54 PM,6:31 PM,7:45 PM
6,Sunday,17/March/2024,4:59 AM,5:09 AM,6:23 AM,12:30 PM,3:54 PM,6:32 PM,7:46 PM
7,Monday,18/March/2024,4:58 AM,5:08 AM,6:21 AM,12:30 PM,3:54 PM,6:32 PM,7:46 PM
8,Tuesday,19/March/2024,4:57 AM,5:07 AM,6:20 AM,12:29 PM,3:54 PM,6:33 PM,7:47 PM
9,Wednesday,20/March/2024,4:56 AM,5:06 AM,6:19 AM,12:29 PM,3:54 PM,6:33 PM,7:47 PM
10,Thursday,21/March/2024,4:55 AM,5:05 AM,6:18 AM,12:29 PM,3:53 PM,6:34 PM,7:48 PM
11,Friday,22/March/2024,4:54 AM,5:04 AM,6:17 AM,12:29 PM,3:53 PM,6:34 PM,7:48 PM
12,Saturday,23/March/2024,4:52 AM,5:02 AM,6:16 AM,12:28 PM,3:53 PM,6:35 PM,7:49 PM
13,Sunday,24/March/2024,4:51 AM,5:01 AM,6:15 AM,12:28 PM,3:53 PM,6:35 PM,7:49 PM
14,Monday,25/March/2024,4:50 AM,5:00 AM,6:14 AM,12:28 PM,3:53 PM,6:35 PM,7:50 PM
15,Tuesday,26/March/2024,4:49 AM,4:59 AM,6:13 AM,12:27 PM,3:53 PM,6:36 PM,7:50 PM
16,Wednesday,27/March/2024,4:48 AM,4:58 AM,6:12 AM,12:27 PM,3:53 PM,6:36 PM,7:51 PM
17,Thursday,28/March/2024,4:47 AM,4:57 AM,6:11 AM,12:27 PM,3:53 PM,6:37 PM,7:51 PM
18,Friday,29/March/2024,4:46 AM,4:56 AM,6:10 AM,12:26 PM,3:53 PM,6:37 PM,7:52 PM
19,Saturday,30/March/2024,4:45 AM,4:55 AM,6:09 AM,12:26 PM,3:52 PM,6:38 PM,7:52 PM
20,Sunday,31/March/2024,4:44 AM,4:54 AM,6:08 AM,12:26 PM,3:52 PM,6:38 PM,7:53 PM
21,Monday,01/April/2024,4:42 AM,4:52 AM,6:07 AM,12:26 PM,3:52 PM,6:39 PM,7:53 PM
22,Tuesday,02/April/2024,4:41 AM,4:51 AM,6:06 AM,12:25 PM,3:52 PM,6:39 PM,7:54 PM
23,Wednesday,03/April/2024,4:40 AM,4:50 AM,6:05 AM,12:25 PM,3:52 PM,6:39 PM,7:54 PM
24,Thursday,04/April/2024,4:39 AM,4:49 AM,6:04 AM,12:25 PM,3:52 PM,6:40 PM,7:55 PM
25,Friday,05/April/2024,4:38 AM,4:48 AM,6:03 AM,12:24 PM,3:51 PM,6:40 PM,7:55 PM
26,Saturday,06/April/2024,4:3 AM7,4:47 AM,6:02 AM,12:24 PM,3:51 PM,6:41 PM,7:56 PM
27,Sunday,07/April/2024,4:36 AM,4:46 AM,6:01 AM,12:24 PM,3:51 PM,6:41 PM,7:57 PM
28,Monday,08/April/2024,4:35 AM,4:45 AM,6:00 AM,12:24 PM,3:51 PM,6:42 PM,7:57 PM
29,Tuesday,09/April/2024,4:33 AM,4:43 AM,5:59 AM,12:23 PM,3:51 PM,6:42 PM,7:58 PM
